,Brand_n_Model,Variant,Year,Kilometers,No_of_owners,Fuel,Price
230,Tata Zest Quadrajet 1.3 XMS,Quadrajet 1.3 XMS,2015,"80,000 kms",First Owner,Diesel,4.75 Lakh*
231,Fiat Punto Pure 1.3L Advanced Multi-Jet,1.3L Advanced Multi-Jet,2015,"90,664 kms",First Owner,Diesel,3.5 Lakh*
232,Honda BRV i-DTEC VX MT,i-DTEC VX MT,2018,"37,250 kms",First Owner,Diesel,11.2 Lakh*
233,Hyundai i10 Sportz,Sportz,2013,"48,000 kms",First Owner,Petrol,3.75 Lakh*
234,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"79,000 kms",Second Owner,Petrol,2.9 Lakh*
235,Honda City 1.3 EXI,1.3 EXI,2002,"78,896 kms",Second Owner,Petrol,1.4 Lakh*
236,Jaguar XF 2.0 Diesel Portfolio,2.0 Diesel Portfolio,2018,"78,000 kms",First Owner,Diesel,36 Lakh*
237,Toyota Fortuner 4x4 AT,4x4 AT,2016,"72,000 kms",First Owner,Diesel,27.75 Lakh*
238,Maruti Swift LXI Option,LXI Option,2014,"55,700 kms",First Owner,Petrol,4.8 Lakh*
239,Maruti Swift LDI,LDI,2012,"66,973 kms",First Owner,Diesel,3.85 Lakh*
240,Land Rover Range Rover Evoque HSE Dynamic,HSE Dynamic,2015,"42,000 kms",First Owner,Diesel,32 Lakh*
241,Honda City 2017-2020 GXi,GXi,2008,"1,00,002 kms",Second Owner,Petrol,2.95 Lakh*
242,Volkswagen Polo GT TSI,GT TSI,2013,"44,000 kms",First Owner,Petrol,5.4 Lakh*
243,Honda Amaze S CVT Petrol BSIV,S CVT Petrol BSIV,2019,"30,000 kms",First Owner,Petrol,7 Lakh*
244,Honda Amaze S i-Dtech,S i-Dtech,2014,"88,000 kms",First Owner,Diesel,4.7 Lakh*
245,Renault Pulse Petrol RxZ,Petrol RxZ,2015,"65,000 kms",Second Owner,Petrol,4.25 Lakh*
246,Hyundai i20 Sportz,Sportz,2020,"7,750 kms",First Owner,Petrol,7.9 Lakh*
247,Maruti Swift AMT VXI,AMT VXI,2018,"20,000 kms",First Owner,Petrol,6.5 Lakh*
248,Mercedes-Benz A Class A180 CDI,A180 CDI,2013,"55,000 kms",Second Owner,Diesel,15 Lakh*
249,Toyota Etios GD,GD,2014,"3,30,000 kms",First Owner,Diesel,3.6 Lakh*
250,Mahindra XUV500 W8 2WD,W8 2WD,2014,"1,20,000 kms",Second Owner,Diesel,8 Lakh*
251,Volkswagen Polo 2015-2019 GT TSI,GT TSI,2015,"35,000 kms",Second Owner,Petrol,6.25 Lakh*
252,Tata Indica Vista Quadrajet LX,Quadrajet LX,2011,"90,000 kms",First Owner,Diesel,2.75 Lakh*
253,Maruti SX4 S Cross DDiS 200 Zeta,DDiS 200 Zeta,2016,"76,000 kms",First Owner,Diesel,7.1 Lakh*
254,Ford EcoSport 1.5 Ti VCT AT Titanium BSIV,1.5 Ti VCT AT Titanium BSIV,2017,"73,000 kms",First Owner,Petrol,6.75 Lakh*
255,BMW 5 Series 520d Luxury Line,520d Luxury Line,2017,"34,000 kms",First Owner,Diesel,36 Lakh*
256,Maruti Omni 5 Seater BSIV,5 Seater BSIV,2001,"37,539 kms",Third Owner,Petrol,"85,000*"
257,Maruti Wagon R LXI,LXI,2005,"1,20,000 kms",Second Owner,Petrol,1.26 Lakh*
258,Volkswagen Polo 1.2 MPI Highline,1.2 MPI Highline,2014,"70,000 kms",Second Owner,Petrol,4.8 Lakh*
259,Maruti Celerio ZXI,ZXI,2015,"49,291 kms",First Owner,Petrol,4 Lakh*
260,Mahindra Marazzo M8 8Str,M8 8Str,2020,"14,000 kms",First Owner,Diesel,14.75 Lakh*
261,Hyundai EON Era Plus,Era Plus,2014,"39,000 kms",Second Owner,Petrol,2.8 Lakh*
262,Maruti Swift 1.3 LXI,1.3 LXI,2008,"66,000 kms",Second Owner,Petrol,3 Lakh*
263,BMW X4 M Sport X xDrive20d,M Sport X xDrive20d,2019,"20,000 kms",Second Owner,Diesel,47.5 Lakh*
264,Maruti Swift VXI,VXI,2019,"11,000 kms",First Owner,Petrol,6.4 Lakh*
265,Hyundai Verna 1.6 VTVT SX,1.6 VTVT SX,2016,"19,000 kms",First Owner,Petrol,6.95 Lakh*
266,Mahindra Quanto C6,C6,2014,"50,000 kms",Second Owner,Diesel,2.97 Lakh*
267,Hyundai EON D Lite Plus,D Lite Plus,2012,"15,000 kms",First Owner,Petrol,2.6 Lakh*
268,Hyundai Verna 1.6 SX VTVT,1.6 SX VTVT,2014,"80,000 kms",First Owner,Petrol,5.5 Lakh*
269,Maruti Wagon R VXI,VXI,2017,"24,147 kms",First Owner,Petrol,4.3 Lakh*
270,Volkswagen Polo 1.0 MPI Comfortline,1.0 MPI Comfortline,2018,"22,000 kms",Second Owner,Petrol,6.25 Lakh*
271,Hyundai Santro GLS I - Euro I,GLS I - Euro I,2008,"78,848 kms",First Owner,Petrol,1.75 Lakh*
272,Maruti Wagon R LXI BSIII,LXI BSIII,2009,"90,329 kms",Second Owner,Petrol,1.9 Lakh*
273,Maruti Alto K10 LXI,LXI,2016,"53,000 kms",First Owner,Petrol,3 Lakh*
274,Maruti Eeco 7 Seater Standard BSIV,7 Seater Standard BSIV,2012,"70,000 kms",First Owner,Petrol,2.1 Lakh*
275,Toyota Innova Crysta 2016-2020 2.4 VX MT,2.4 VX MT,2017,"39,000 kms",First Owner,Diesel,19.25 Lakh*
276,Hyundai Getz 1.3 GVS,1.3 GVS,2009,"62,208 kms",Second Owner,Petrol,1.75 Lakh*
277,Hyundai i20 Magna Plus,Magna Plus,2018,"24,000 kms",First Owner,Petrol,6.25 Lakh*
278,Maruti Wagon R VXI,VXI,2009,"70,000 kms",First Owner,Petrol,2.4 Lakh*
279,Hyundai i10 Sportz,Sportz,2013,"30,000 kms",Third Owner,Petrol,3.2 Lakh*
280,Maruti Swift Dzire LXI,LXI,2014,"35,200 kms",First Owner,Petrol,4.55 Lakh*
281,Ford Classic 1.4 Duratorq LXI,1.4 Duratorq LXI,2013,"1,96,000 kms",Second Owner,Diesel,2.1 Lakh*
282,Maruti Celerio ZXI,ZXI,2016,"20,000 kms",First Owner,Petrol,4.3 Lakh*
283,Hyundai i20 Era BSIV,Era BSIV,2017,"21,000 kms",First Owner,Petrol,5.5 Lakh*
284,Maruti Swift Lxi BSIII,Lxi BSIII,2005,"80,000 kms",Second Owner,Petrol,2.3 Lakh*
285,Nissan Micra Diesel XL,Diesel XL,2017,"84,000 kms",First Owner,Diesel,4.15 Lakh*
286,Hyundai Elantra CRDi SX,CRDi SX,2015,"23,000 kms",First Owner,Diesel,10.5 Lakh*
287,Hyundai i20 Sportz 1.2,Sportz 1.2,2013,"84,851 kms",First Owner,Petrol,3.8 Lakh*
288,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1.5 Diesel Titanium Plus BSIV,2017,"42,500 kms",Second Owner,Diesel,7 Lakh*
289,Maruti Swift Dzire VXi,VXi,2009,"54,000 kms",First Owner,Petrol,3.5 Lakh*
290,Renault Lodgy 85PS RxZ,85PS RxZ,2015,"90,000 kms",Second Owner,Diesel,6.15 Lakh*
291,Maruti Swift 1.3 VXi,1.3 VXi,2007,"80,000 kms",Second Owner,Petrol,2.1 Lakh*
292,Hyundai i20 1.4 Asta,1.4 Asta,2017,"45,006 kms",First Owner,Diesel,7.35 Lakh*
293,Hyundai Grand i10 Sportz,Sportz,2014,"45,728 kms",First Owner,Petrol,4.3 Lakh*
294,Ford Aspire 1.5 TDCi Titanium,1.5 TDCi Titanium,2017,"37,578 kms",First Owner,Diesel,5.5 Lakh*
295,Maruti Zen LX,LX,1997,"40,000 kms",First Owner,Petrol,1.25 Lakh*
296,BMW X3 3.0si,3.0si,2009,"1,35,000 kms",First Owner,Petrol,8.5 Lakh*
297,Hyundai i20 2015-2017 Magna 1.2,Magna 1.2,2016,"60,000 kms",First Owner,Petrol,5.25 Lakh*
298,Maruti Swift Dzire VDI,VDI,2015,"1,20,000 kms",First Owner,Diesel,6.2 Lakh*
299,Toyota Innova 2.5 GX (Diesel) 7 Seater,2.5 GX (Diesel) 7 Seater,2016,"74,000 kms",First Owner,Diesel,13.9 Lakh*
300,Nissan Micra Active XV Petrol,XV Petrol,2016,"6,000 kms",First Owner,Petrol,4.55 Lakh*
301,Maruti Eeco 7 Seater Standard BSIV,7 Seater Standard BSIV,2013,"32,000 kms",First Owner,Petrol,3.5 Lakh*
302,Maruti Eeco 5 Seater AC,5 Seater AC,2016,"45,000 kms",First Owner,Petrol,3.85 Lakh*
303,Audi Q3 30 TDI Premium FWD,30 TDI Premium FWD,2017,"70,000 kms",First Owner,Diesel,25 Lakh*
304,Maruti Swift ZXI,ZXI,2017,"44,000 kms",First Owner,Petrol,6.25 Lakh*
305,Honda Amaze V CVT Petrol BSIV,V CVT Petrol BSIV,2019,"8,900 kms",First Owner,Petrol,8.25 Lakh*
306,Nissan Micra Active XL Petrol,XL Petrol,2016,"57,000 kms",First Owner,Petrol,3.65 Lakh*
307,Honda City 2017-2020 GXi,GXi,2008,"1,00,000 kms",Second Owner,Petrol,2.9 Lakh*
308,Maruti Swift Ldi BSIV,Ldi BSIV,2014,"85,000 kms",Second Owner,Diesel,4.25 Lakh*
309,Volkswagen Polo 1.5 TDI Highline,1.5 TDI Highline,2014,"56,000 kms",First Owner,Diesel,5.4 Lakh*
310,Ford EcoSport 1.5 Petrol Titanium Plus,1.5 Petrol Titanium Plus,2018,"29,999 kms",First Owner,Petrol,9.9 Lakh*
311,Maruti Swift LDI,LDI,2010,"67,576 kms",First Owner,Diesel,3.25 Lakh*
312,Toyota Camry Hybrid 2.5,Hybrid 2.5,2018,"20,000 kms",First Owner,Petrol,32 Lakh*
313,Honda CR-V 2.0L 2WD AT,2.0L 2WD AT,2004,"1,56,542 kms",Second Owner,Petrol,2.75 Lakh*
314,Honda Jazz 1.2 V AT i VTEC,1.2 V AT i VTEC,2016,"35,000 kms",Second Owner,Petrol,6.25 Lakh*
315,Tata Indigo CR4,CR4,2008,"1,15,565 kms",First Owner,Diesel,1.25 Lakh*
316,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2.8 ZX AT BSIV,2019,"12,000 kms",First Owner,Diesel,25 Lakh*
317,Ford Figo Petrol Titanium,Petrol Titanium,2010,"63,252 kms",First Owner,Petrol,2.65 Lakh*
318,Hyundai i20 1.2 Asta,1.2 Asta,2017,"45,600 kms",First Owner,Petrol,6.5 Lakh*
319,Hyundai i20 Active 1.4 SX,1.4 SX,2015,"82,000 kms",First Owner,Diesel,5.85 Lakh*
320,Hyundai i10 Era,Era,2008,"78,000 kms",Second Owner,Petrol,2.25 Lakh*
321,Volkswagen Polo 1.0 MPI Highline Plus BSIV,1.0 MPI Highline Plus BSIV,2019,"35,000 kms",First Owner,Petrol,7.25 Lakh*
322,Ford Figo Diesel EXI,Diesel EXI,2014,"1,18,054 kms",Second Owner,Diesel,2.8 Lakh*
323,Maruti Wagon R VXI,VXI,2013,"47,238 kms",First Owner,Petrol,3.4 Lakh*
324,Hyundai EON Era Plus,Era Plus,2013,"1,16,000 kms",Third Owner,Petrol,2.1 Lakh*
325,Toyota Etios V,V,2011,"22,000 kms",First Owner,Petrol,4.4 Lakh*
326,Maruti Swift Dzire VXI 1.2,VXI 1.2,2020,"10,000 kms",First Owner,Petrol,6.9 Lakh*
327,Ford EcoSport 1.5 Diesel Titanium,1.5 Diesel Titanium,2018,"79,000 kms",First Owner,Diesel,8.75 Lakh*
328,Hyundai Grand i10 AT Asta,AT Asta,2015,"59,000 kms",First Owner,Petrol,5.35 Lakh*
329,Nissan Magnite Turbo XV Premium,Turbo XV Premium,2021,"2,500 kms",First Owner,Petrol,8.5 Lakh*
330,Isuzu MU-X 2017-2020 4X2,4X2,2018,"70,000 kms",First Owner,Diesel,21 Lakh*
331,Mahindra Thar CRDe AC,CRDe AC,2011,"35,000 kms",First Owner,Diesel,6.25 Lakh*
332,Volkswagen CrossPolo 1.5 TDI,1.5 TDI,2014,"59,000 kms",First Owner,Diesel,4.8 Lakh*
333,Maruti Ciaz 1.3 Alpha,1.3 Alpha,2019,"24,100 kms",First Owner,Diesel,10 Lakh*
334,Maruti 800 DX,DX,2003,"80,000 kms",Third Owner,Petrol,"75,000*"
335,Maruti Alto LXi,LXi,2012,"55,000 kms",Second Owner,Petrol,1.72 Lakh*
336,Maruti Alto LXi,LXi,2009,"70,000 kms",First Owner,Petrol,1.4 Lakh*
337,Tata Indica DLE - BSIII,DLE - BSIII,2005,"1,80,000 kms",Third Owner,Diesel,"80,031*"
338,Ford Aspire 1.5 TDCi Titanium,1.5 TDCi Titanium,2016,"88,500 kms",First Owner,Diesel,5.1 Lakh*
339,Audi A3 40 TFSI Premium Plus,40 TFSI Premium Plus,2018,"48,000 kms",First Owner,Petrol,23 Lakh*
340,Mercedes-Benz E-Class Exclusive E 200 BSIV,Exclusive E 200 BSIV,2017,"48,000 kms",First Owner,Petrol,38.5 Lakh*
341,Ford Figo 1.5D Titanium MT,1.5D Titanium MT,2017,"37,522 kms",First Owner,Diesel,5.5 Lakh*
342,Ford Aspire 1.5 TDCi Titanium,1.5 TDCi Titanium,2017,"34,950 kms",First Owner,Diesel,6.3 Lakh*
343,Mahindra XUV500 W8 2WD,W8 2WD,2013,"1,09,000 kms",First Owner,Diesel,8.5 Lakh*
344,Maruti Alto 800 LXI,LXI,2017,"60,000 kms",First Owner,Petrol,2.65 Lakh*
345,Maruti Ertiga 1.5 ZDI Plus,1.5 ZDI Plus,2016,"30,100 kms",First Owner,Diesel,8.75 Lakh*
346,Renault Duster 85PS Diesel RxE,85PS Diesel RxE,2018,"67,192 kms",First Owner,Diesel,7.2 Lakh*
347,Ford EcoSport 1.5 TDCi Titanium BSIV,1.5 TDCi Titanium BSIV,2015,"1,20,000 kms",Second Owner,Diesel,5 Lakh*
348,Nissan Sunny XV D Premium Safety,XV D Premium Safety,2016,"42,250 kms",First Owner,Diesel,6.5 Lakh*
349,Maruti Wagon R VXI BS IV,VXI BS IV,2013,"30,000 kms",First Owner,Petrol,3.3 Lakh*
350,Mahindra XUV500 W8 4WD,W8 4WD,2012,"1,25,000 kms",First Owner,Diesel,7.5 Lakh*
351,Mahindra Marazzo M8,M8,2019,"10,000 kms",First Owner,Diesel,14.5 Lakh*
352,Nissan Terrano XL Plus 85 PS,XL Plus 85 PS,2014,"78,000 kms",Second Owner,Diesel,5.7 Lakh*
353,Mahindra XUV500 W10 AWD,W10 AWD,2016,"85,001 kms",Second Owner,Diesel,11.5 Lakh*
354,Honda City V AT,V AT,2012,"60,000 kms",Third Owner,Petrol,4.75 Lakh*
355,Hyundai Verna 1.6 CRDi AT SX,1.6 CRDi AT SX,2016,"69,999 kms",First Owner,Diesel,7.95 Lakh*
356,Ford Figo Diesel Titanium,Diesel Titanium,2011,"80,000 kms",Second Owner,Diesel,2.5 Lakh*
357,Toyota Fortuner 4x2 4 Speed AT,4x2 4 Speed AT,2012,"1,10,000 kms",Second Owner,Diesel,13.5 Lakh*
358,Ford EcoSport 1.0 Ecoboost Platinum Edition BSIV,1.0 Ecoboost Platinum Edition BSIV,2017,"17,470 kms",First Owner,Petrol,7.8 Lakh*
359,Datsun RediGO T Option,T Option,2016,"13,000 kms",First Owner,Petrol,2.75 Lakh*
360,Mahindra XUV500 2011-2015 W8 FWD,W8 FWD,2012,"77,000 kms",Second Owner,Diesel,7.75 Lakh*
361,Hyundai Verna 1.6 SX VTVT (O) AT,1.6 SX VTVT (O) AT,2017,"25,851 kms",First Owner,Petrol,7.9 Lakh*
362,Volkswagen Polo GT TSI,GT TSI,2017,"18,000 kms",First Owner,Petrol,8.25 Lakh*
363,Volkswagen Polo Diesel Highline 1.2L,Diesel Highline 1.2L,2010,"1,00,000 kms",Second Owner,Diesel,3.5 Lakh*
364,Ford Figo Petrol EXI,Petrol EXI,2013,"36,542 kms",First Owner,Petrol,3 Lakh*
365,Hyundai Verna 1.4 CRDi,1.4 CRDi,2014,"59,475 kms",Second Owner,Diesel,4.6 Lakh*
366,Maruti Gypsy W410 4X4,W410 4X4,2008,"10,000 kms",First Owner,Petrol,4.5 Lakh*
367,Hyundai i20 Magna 1.4 CRDi (Diesel),Magna 1.4 CRDi (Diesel),2013,"82,000 kms",Second Owner,Diesel,4.1 Lakh*
368,Maruti Ciaz ZDi Plus SHVS,ZDi Plus SHVS,2016,"60,000 kms",First Owner,Diesel,7.5 Lakh*
369,Toyota Innova 2.5 GX (Diesel) 7 Seater,2.5 GX (Diesel) 7 Seater,2014,"89,000 kms",First Owner,Diesel,13.45 Lakh*
370,Maruti Swift Dzire VDI,VDI,2017,"34,000 kms",First Owner,Diesel,6.5 Lakh*
371,Toyota Yaris G,G,2018,"18,006 kms",First Owner,Petrol,9.7 Lakh*
372,Maruti Swift Dzire VXi AT,VXi AT,2016,"32,000 kms",First Owner,Petrol,6.25 Lakh*
373,Hyundai Santro Xing GLS,GLS,2008,"90,000 kms",Second Owner,Petrol,1.6 Lakh*
374,Honda City 1.5 V MT,1.5 V MT,2011,"88,000 kms",Second Owner,Petrol,4.25 Lakh*
375,Honda Jazz 1.2 V i VTEC,1.2 V i VTEC,2016,"40,000 kms",Second Owner,Petrol,5.85 Lakh*
376,Toyota Fortuner 4x4 MT,4x4 MT,2014,"40,000 kms",First Owner,Diesel,19.5 Lakh*
377,Volkswagen Vento Diesel Trendline,Diesel Trendline,2012,"42,000 kms",First Owner,Diesel,4.95 Lakh*
378,Maruti Celerio X AMT VXI BSIV,AMT VXI BSIV,2018,"22,418 kms",First Owner,Petrol,4.75 Lakh*
379,Toyota Etios Liva 1.4 GD,1.4 GD,2016,"1,37,700 kms",First Owner,Diesel,5 Lakh*
380,Ford EcoSport 1.5 Diesel Titanium,1.5 Diesel Titanium,2016,"79,000 kms",First Owner,Diesel,6.75 Lakh*
381,Nissan Micra Diesel XV,Diesel XV,2011,"65,000 kms",Second Owner,Diesel,2.9 Lakh*
382,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2.5 G (Diesel) 7 Seater BS IV,2008,"1,50,000 kms",First Owner,Diesel,6.25 Lakh*
383,Mercedes-Benz B-Class B200 CDI,B200 CDI,2017,"34,000 kms",First Owner,Diesel,20.25 Lakh*
384,Tata Nano Lx BSIV,Lx BSIV,2012,"32,584 kms",First Owner,Petrol,1.4 Lakh*
385,Ford Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2014,"63,000 kms",First Owner,Diesel,4.25 Lakh*
386,Mercedes-Benz GLE Class 250d,250d,2017,"18,000 kms",First Owner,Diesel,50 Lakh*
387,Skoda Octavia Elegance 1.9 TDI,Elegance 1.9 TDI,2005,"1,24,000 kms",Second Owner,Diesel,1.9 Lakh*
388,Tata Indica 1.2 GLE BSIII,1.2 GLE BSIII,2008,"45,000 kms",Second Owner,Petrol,1.3 Lakh*
389,Maruti Alto LXi,LXi,2008,"93,176 kms",First Owner,Petrol,1.6 Lakh*
390,Toyota Innova Crysta 2016-2020 2.4 ZX MT,2.4 ZX MT,2019,"27,000 kms",First Owner,Diesel,23.85 Lakh*
391,Toyota Camry 2.5 Hybrid,2.5 Hybrid,2015,"80,000 kms",Second Owner,Petrol,14.5 Lakh*
392,Ford Figo Diesel ZXI,Diesel ZXI,2013,"72,000 kms",First Owner,Diesel,3.2 Lakh*
393,Maruti Swift 1.3 VXi,1.3 VXi,2006,"80,000 kms",Third Owner,Petrol,1.9 Lakh*
394,Honda BRV i-VTEC VX MT,i-VTEC VX MT,2016,"7,000 kms",First Owner,Petrol,7.5 Lakh*
395,Toyota Innova 2.5 GX (Diesel) 8 Seater,2.5 GX (Diesel) 8 Seater BS IV,2013,"1,20,000 kms",Second Owner,Diesel,9.5 Lakh*
396,Hyundai Grand i10 1.2 Kappa Magna AT,1.2 Kappa Magna AT,2017,"15,000 kms",First Owner,Petrol,5.5 Lakh*
397,Maruti Swift Dzire ZXI,ZXI,2012,"38,000 kms",Second Owner,Petrol,4.85 Lakh*
398,Mahindra XUV500 W8 2WD,W8 2WD,2012,"80,000 kms",Second Owner,Diesel,7.2 Lakh*
399,Hyundai Xcent 1.1 CRDi SX Option,1.1 CRDi SX Option,2015,"52,000 kms",Second Owner,Diesel,4.5 Lakh*
400,Honda Amaze VX i-Vtech,VX i-Vtech,2015,"65,820 kms",First Owner,Petrol,5.2 Lakh*
401,Tata Tiago 1.2 Revotron XZ Plus Dual Tone,1.2 Revotron XZ Plus Dual Tone,2019,"20,000 kms",First Owner,Petrol,5.75 Lakh*
402,Hyundai i20 Sportz 1.4 CRDi,Sportz 1.4 CRDi,2014,"64,256 kms",First Owner,Diesel,5.5 Lakh*
403,Hyundai Santro Xing XO,XO,2006,"70,000 kms",Second Owner,Petrol,1.4 Lakh*
404,Volkswagen Jetta 2.0L TDI Highline,2.0L TDI Highline,2015,"50,000 kms",Fourth & Above Owner,Diesel,6.25 Lakh*
405,Volkswagen Polo Diesel Highline 1.2L,Diesel Highline 1.2L,2012,"1,24,952 kms",First Owner,Diesel,3.5 Lakh*
406,Maruti Swift Dzire VXI 1.2 BS IV,VXI 1.2 BS IV,2017,"30,000 kms",First Owner,Petrol,6.25 Lakh*
407,Hyundai i10 Asta,Asta,2011,"49,855 kms",Second Owner,Petrol,3 Lakh*
408,Hyundai Verna VTVT 1.6 SX Option,VTVT 1.6 SX Option,2019,"5,000 kms",First Owner,Petrol,11.9 Lakh*
409,Hyundai i10 Magna 1.2,Magna 1.2,2010,"51,000 kms",First Owner,Petrol,2.25 Lakh*
410,Hyundai Santro Xing GLS,GLS,2012,"22,000 kms",First Owner,Petrol,3.25 Lakh*
411,Maruti Baleno Delta,Delta,2016,"57,873 kms",First Owner,Petrol,5.4 Lakh*
412,Toyota Innova Crysta 2016-2020 2.8 GX AT BSIV,2.8 GX AT BSIV,2018,"29,662 kms",First Owner,Diesel,19.25 Lakh*
413,Hyundai Grand i10 AT Asta,AT Asta,2016,"43,000 kms",First Owner,Petrol,5.2 Lakh*
414,Maruti Swift VXI BSIV,VXI BSIV,2014,"46,279 kms",First Owner,Petrol,4.9 Lakh*
415,OpelCorsa 1.4 GLS,1.4 GLS,2004,"70,000 kms",Second Owner,Petrol,1.3 Lakh*
416,Hyundai Creta 1.6 VTVT AT SX Plus,1.6 VTVT AT SX Plus,2016,"30,000 kms",First Owner,Petrol,10.35 Lakh*
417,Maruti Omni LPG STD BSIII 5-STR W IMMOBILISER,LPG STD BSIII 5-STR W IMMOBILISER,2012,"50,000 kms",Second Owner,LPG,1.9 Lakh*
418,Volkswagen Ameo 1.5 TDI Highline,1.5 TDI Highline,2017,"72,500 kms",First Owner,Diesel,6.3 Lakh*
419,Toyota Innova Crysta 2016-2020 2.4 VX MT 8S BSIV,2.4 VX MT 8S BSIV,2016,"77,000 kms",First Owner,Diesel,17.5 Lakh*
420,Hyundai i10 Era,Era,2010,"30,000 kms",First Owner,Petrol,3 Lakh*
421,Maruti Celerio ZXI MT BSIV,ZXI MT BSIV,2018,"46,000 kms",First Owner,Petrol,4.1 Lakh*
422,Tata Indica GLS BS IV,GLS BS IV,2009,"80,000 kms",Third Owner,Petrol,1.25 Lakh*
423,Honda Amaze S i-Dtech,S i-Dtech,2014,"87,000 kms",First Owner,Diesel,4.75 Lakh*
424,Hyundai i10 Sportz,Sportz,2014,"83,000 kms",First Owner,Petrol,3.75 Lakh*
425,Mahindra Xylo H4 ABS,H4 ABS,2018,"70,000 kms",First Owner,Diesel,8.5 Lakh*
426,Tata Manza Aqua Quadrajet BS IV,Aqua Quadrajet BS IV,2011,"1,00,000 kms",Second Owner,Diesel,2.5 Lakh*
427,Maruti SX4 S Cross DDiS 200 Zeta,DDiS 200 Zeta,2017,"40,000 kms",First Owner,Diesel,8 Lakh*
428,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,2.8 4WD AT BSIV,2017,"36,000 kms",First Owner,Diesel,30 Lakh*
429,Renault Duster RXZ Turbo CVT,RXZ Turbo CVT,2021,"1,000 kms",Test Drive Car,Petrol,15 Lakh*
430,Ford Figo Diesel ZXI,Diesel ZXI,2011,"1,30,000 kms",Third Owner,Diesel,1.8 Lakh*
431,Volvo S90 D4 Inscription,D4 Inscription,2017,"31,000 kms",First Owner,Diesel,38.5 Lakh*
432,Audi A6 2.7 TDI,2.7 TDI,2010,"70,000 kms",First Owner,Diesel,10 Lakh*
433,Maruti Vitara Brezza ZXI Plus AT,ZXI Plus AT,2020,"3,000 kms",First Owner,Petrol,11.75 Lakh*
434,Hyundai i10 Sportz,Sportz,2011,"42,000 kms",Second Owner,Petrol,2.6 Lakh*
435,Maruti Swift VXI Glory Limited Edition,VXI Glory Limited Edition,2015,"1,10,000 kms",First Owner,Petrol,4.77 Lakh*
436,Ford EcoSport Titanium Diesel,Titanium Diesel,2015,"45,195 kms",First Owner,Diesel,6.8 Lakh*
437,Toyota Fortuner 4x4 MT,4x4 MT,2016,"75,000 kms",First Owner,Diesel,21.5 Lakh*
438,Maruti Swift ZXI,ZXI,2014,"59,760 kms",First Owner,Petrol,4.75 Lakh*
439,Skoda Fabia 1.2L Diesel Classic,1.2L Diesel Classic,2011,"1,20,000 kms",Second Owner,Diesel,1.75 Lakh*
440,Ford Aspire 1.5 TDCi Sports Edition,1.5 TDCi Sports Edition,2018,"35,000 kms",First Owner,Diesel,6.3 Lakh*
441,Maruti Swift Dzire VXI 1.2,VXI 1.2,2018,"44,100 kms",First Owner,Petrol,6.2 Lakh*
442,Hyundai EON 1.0 Era Plus,1.0 Era Plus,2018,"63,500 kms",First Owner,Petrol,3.5 Lakh*
443,Honda City i DTEC VX,i DTEC VX,2015,"74,000 kms",First Owner,Diesel,8.5 Lakh*
444,Hyundai i20 2015-2017 Magna 1.2,Magna 1.2,2017,"16,000 kms",First Owner,Petrol,5.95 Lakh*
445,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2011,"38,000 kms",First Owner,Petrol,2.65 Lakh*
446,Maruti Wagon R VXI,VXI,2017,"28,806 kms",First Owner,Petrol,4.7 Lakh*
447,Toyota Etios GD,GD,2015,"85,000 kms",First Owner,Diesel,6.45 Lakh*
448,Mercedes-Benz M-Class ML 250 CDI,ML 250 CDI,2015,"30,000 kms",Second Owner,Diesel,30 Lakh*
449,Mahindra XUV500 W6 2WD,W6 2WD,2017,"88,500 kms",First Owner,Diesel,10.5 Lakh*
450,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2.8 ZX AT BSIV,2016,"80,000 kms",First Owner,Diesel,18 Lakh*
451,Honda New Accord 2008-2011 2.4 Elegance A/T,2.4 Elegance A/T,2008,"40,000 kms",Second Owner,Petrol,6 Lakh*
452,Honda City 1.5 V MT,1.5 V MT,2009,"1,50,000 kms",First Owner,Petrol,2.9 Lakh*
453,Mahindra XUV500 W10 1.99 mHawk,W10 1.99 mHawk,2016,"60,000 kms",First Owner,Diesel,14 Lakh*
454,Maruti Alto K10 LXI,LXI,2012,"44,423 kms",First Owner,Petrol,2.25 Lakh*
455,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2.5 G (Diesel) 8 Seater BS IV,2013,"1,70,000 kms",Second Owner,Diesel,9 Lakh*
456,Volkswagen Vento 1.5 TDI Highline,1.5 TDI Highline,2014,"1,30,654 kms",First Owner,Diesel,4.65 Lakh*
457,Hyundai i20 1.2 Era,1.2 Era,2011,"83,000 kms",Second Owner,Petrol,3.25 Lakh*
458,Volkswagen Vento 1.2 TSI Highline BSIV,1.2 TSI Highline BSIV,2019,"18,000 kms",First Owner,Petrol,9.75 Lakh*
459,Hyundai i20 2015-2017 Asta 1.2,Asta 1.2,2016,"54,850 kms",First Owner,Petrol,6.1 Lakh*
